Crypto Name,Price,24H Change,24H Volume,Market Cap
Bitcoin,"$17,053.55",+0.64%,$17.61 B,$324.45 B
Ethereum,"$1,253.38",+0.59%,$4.8 B,$150.96 B
Tether,$1.02,+0.07%,$23.2 B,$65.74 B
BNB,$289.70,+1.11%,$655.65 M,$45.74 B
USD Coin,$1.00,+0.00%,$1.96 B,$42.83 B
Binance USD,$1.00,+0.25%,$5.2 B,$22.16 B
XRP,$0.3914,+1.98%,$750.8 M,$19.43 B
Dogecoin,$0.09834,+1.65%,$487.39 M,$12.87 B
Cardano,$0.316,+1.01%,$195.14 M,$10.75 B
Polygon,$0.9099,+2.10%,$249.86 M,$7.84 B
Polkadot,$5.38,+0.45%,$189.91 M,$6.07 B
Dai,$1.02,+0.02%,$171.97 M,$5.88 B
Wrapped TRON,$0.05321,+0.94%,"$927,765",$5.41 B
Litecoin,$76.87,-1.15%,$520.66 M,$5.44 B
Shiba Inu,$0.000009412,+2.30%,$95.31 M,$5.06 B
TRON,$0.05347,+1.59%,$184.15 M,$4.93 B
Solana,$14.15,+0.17%,$207.66 M,$4.95 B
HEX,$0.02797,-0.41%,$1.73 M,$4.85 B
Uniswap,$6.06,+1.01%,$61.13 M,$4.54 B
Lido stETH,"$1,211.05",-1.03%,$6.14 M,$4.22 B
Avalanche,$13.54,+1.57%,$116.64 M,$4.12 B
UNUS SED LEO,$3.79,+0.08%,$2.48 M,$3.62 B
Chainlink,$7.03,+1.03%,$196.63 M,$3.5 B
Wrapped Bitcoin,"$17,032.38",+0.69%,$49.95 M,$3.37 B
Cosmos,$9.83,-0.55%,$124.08 M,$2.77 B
Monero,$144.43,+2.10%,$61.45 M,$2.63 B
Ethereum Classic,$19.29,+0.46%,$85.32 M,$2.6 B
Toncoin,$1.84,+2.48%,$32.47 M,$2.24 B
Stellar,$0.08621,+0.75%,$38.41 M,$2.17 B
Bitcoin Cash,$111.44,+1.24%,$145.75 M,$2.11 B
Cronos,$0.06416,-0.58%,$19.6 M,$1.61 B
Algorand,$0.2271,+1.03%,$51.05 M,$1.59 B
Filecoin,$4.45,+0.86%,$86.12 M,$1.46 B
Quant,$120.67,-0.38%,$24.41 M,$1.43 B
NEAR Protocol,$1.72,-1.73%,$81.68 M,$1.41 B
ApeCoin,$3.97,-1.10%,$160.13 M,$1.4 B
VeChain,$0.01935,+1.38%,$26.1 M,$1.36 B
OKB,$20.82,+0.73%,$12.25 M,$1.25 B
Hedera,$0.04972,+1.90%,$10.64 M,$1.18 B
Internet Computer,$4.28,+0.69%,$17.6 M,$1.15 B
Wrapped BNB,$286.08,+1.14%,$48.99 M,$1.09 B
Flow,$1.06,-0.40%,$34.61 M,$1.07 B
Elrond,$45.44,-0.01%,$33.43 M,$1.06 B
EOS,$1.00,+6.04%,$225.19 M,$1.06 B
Frax,$0.9967,+0.42%,$14.86 M,$1.02 B
Trust Wallet Token,$2.47,+5.25%,$60.46 M,$1.03 B
Luna Classic,$0.0001827,+1.47%,$68.15 M,$993.63 M
Huobi Token,$6.40,+1.42%,$15.36 M,$981.24 M
Pax Dollar,$1.00,+0.14%,$1.31 M,$946.4 M
Chiliz,$0.1562,+1.39%,$100.72 M,$943.01 M
